GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0006461	protein complex assembly	biological_process	1E0		lcl|c227202_g1_i3|m.12234	
GO:0051131	chaperone-mediated protein complex assembly	biological_process	1E0		lcl|c227202_g1_i3|m.12234	
GO:0006464	cellular protein modification process	biological_process	1E0		lcl|c228038_g3_i1|m.12994,lcl|c241500_g1_i1|m.28663,lcl|c217573_g1_i1|m.5252,lcl|c210724_g2_i1|m.2253,lcl|c242193_g2_i1|m.29501,lcl|c221356_g3_i2|m.7588,lcl|c222929_g2_i3|m.8717,lcl|c228448_g3_i1|m.13331	
GO:0046390	ribose phosphate biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0046394	carboxylic acid biosynthetic process	biological_process	1E0		lcl|c237215_g1_i1|m.23031	
GO:0006468	protein phosphorylation	biological_process	1E0		lcl|c210724_g2_i1|m.2253	
GO:0045333	cellular respiration	biological_process	1E0		lcl|c226769_g3_i1|m.11767,lcl|c221482_g1_i3|m.7664,lcl|c220936_g1_i1|m.7247	
GO:0015980	energy derivation by oxidation of organic compounds	biological_process	1E0		lcl|c226769_g3_i1|m.11767,lcl|c221482_g1_i3|m.7664,lcl|c220936_g1_i1|m.7247	
GO:0015992	proton transport	biological_process	1E0		lcl|c235743_g4_i1|m.21296,lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0043043	peptide biosynthetic process	biological_process	1E0		lcl|c224289_g1_i1|m.9705,lcl|c237832_g1_i6|m.23803,lcl|c218703_g1_i4|m.5907,lcl|c218481_g4_i6|m.5811,lcl|c211022_g1_i7|m.2328,lcl|c218820_g4_i2|m.5974,lcl|c223077_g2_i1|m.8858	
GO:0006486	protein glycosylation	biological_process	1E0		lcl|c241500_g1_i1|m.28663	
GO:0050789	regulation of biological process	biological_process	1E0		lcl|c243086_g4_i2|m.30593,lcl|c221753_g3_i7|m.7844,lcl|c237832_g1_i6|m.23803,lcl|c223425_g3_i3|m.9106,lcl|c224263_g3_i3|m.9691,lcl|c244151_g1_i2|m.31813,lcl|c223433_g6_i1|m.9115,lcl|c242001_g1_i2|m.29236,lcl|c223077_g2_i1|m.8858	
GO:0015985	energy coupled proton transport, down electrochemical gradient	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0050790	regulation of catalytic activity	biological_process	1E0		lcl|c224263_g3_i3|m.9691,lcl|c242001_g1_i2|m.29236	
GO:0015986	ATP synthesis coupled proton transport	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0050794	regulation of cellular process	biological_process	1E0		lcl|c243086_g4_i2|m.30593,lcl|c221753_g3_i7|m.7844,lcl|c237832_g1_i6|m.23803,lcl|c223425_g3_i3|m.9106,lcl|c244151_g1_i2|m.31813,lcl|c223433_g6_i1|m.9115,lcl|c242001_g1_i2|m.29236,lcl|c223077_g2_i1|m.8858	
GO:0072350	tricarboxylic acid metabolic process	biological_process	1E0		lcl|c226769_g3_i1|m.11767,lcl|c221482_g1_i3|m.7664	
GO:0055085	transmembrane transport	biological_process	1E0		lcl|c235743_g4_i1|m.21296,lcl|c210226_g1_i1|m.2139,lcl|c233001_g2_i4|m.18006,lcl|c231281_g6_i3|m.16097	
GO:0055086	nucleobase-containing small molecule metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c223247_g3_i6|m.8971,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247,lcl|c229060_g1_i1|m.13927	
GO:0006508	proteolysis	biological_process	1E0		lcl|c218119_g1_i3|m.5570,lcl|c216702_g5_i1|m.4730,lcl|c209946_g1_i6|m.2078,lcl|c223425_g3_i3|m.9106,lcl|c216377_g1_i3|m.4559,lcl|c223433_g6_i1|m.9115,lcl|c243222_g3_i1|m.30722,lcl|c225618_g2_i6|m.10783,lcl|c243149_g1_i2|m.30670	
GO:0070271	protein complex biogenesis	biological_process	1E0		lcl|c227202_g1_i3|m.12234	
GO:0016485	protein processing	biological_process	1E0		lcl|c225618_g2_i6|m.10783	
